cust, cap, prov, use, bought, problems
10, 20, 0, 0, 7.4, 0
10, 20, 0, 2, 5.1000000000000005, 0
10, 20, 0, 4, 6.3999999999999995, 0
10, 20, 0, 6, 4.4, 0
10, 20, 2, 0, 2.4000000000000004, 0
10, 20, 2, 2, 2.1000000000000005, 0
10, 20, 2, 4, 3.3, 0
10, 20, 2, 6, 2.1, 0
10, 20, 4, 0, 2.0, 0
10, 20, 4, 2, 2.6, 0
10, 20, 4, 4, 1.9000000000000006, 0
10, 20, 4, 6, 2.6, 0
10, 20, 6, 0, 1.4, 0
10, 20, 6, 2, 2.0, 0
10, 20, 6, 4, 2.0999999999999996, 0
10, 20, 6, 6, 2.2000000000000006, 0
10, 26, 0, 0, 5.8, 0
10, 26, 0, 2, 5.1, 0
10, 26, 0, 4, 5.2, 0
10, 26, 0, 6, 5.500000000000001, 0
10, 26, 2, 0, 2.3000000000000007, 0
10, 26, 2, 2, 2.6000000000000005, 0
10, 26, 2, 4, 4.6, 0
10, 26, 2, 6, 2.4000000000000004, 0
10, 26, 4, 0, 1.7000000000000004, 0
10, 26, 4, 2, 2.3, 0
10, 26, 4, 4, 2.5000000000000004, 0
10, 26, 4, 6, 3.3000000000000003, 0
10, 26, 6, 0, 1.8, 0
10, 26, 6, 2, 1.6000000000000005, 0
10, 26, 6, 4, 2.0, 0
10, 26, 6, 6, 2.0, 0
10, 40, 0, 0, 4.5, 0
10, 40, 0, 2, 5.3, 0
10, 40, 0, 4, 4.8, 0
10, 40, 0, 6, 6.2, 0
10, 40, 2, 0, 3.7, 0
10, 40, 2, 2, 2.7, 0
10, 40, 2, 4, 3.5, 0
10, 40, 2, 6, 2.9, 0
10, 40, 4, 0, 1.5000000000000002, 0
10, 40, 4, 2, 2.2, 0
10, 40, 4, 4, 2.5000000000000004, 0
10, 40, 4, 6, 1.8, 0
10, 40, 6, 0, 1.8000000000000003, 0
10, 40, 6, 2, 1.5999999999999999, 0
10, 40, 6, 4, 1.6000000000000003, 0
10, 40, 6, 6, 1.4000000000000001, 0
50, 20, 0, 0, 27.799999999999997, 9
50, 20, 0, 2, 28.699999999999996, 0
50, 20, 0, 4, 25.3, 0
50, 20, 0, 6, 27.8, 0
50, 20, 2, 0, 16.999999999999996, 0
50, 20, 2, 2, 15.399999999999993, 0
