http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=1&e=24&f=2013&g=d&a=0&b=12&c=2013&ignore=.csv
Date,Open,High,Low,Close,Volume,Adj Close
2013-02-22,20.87,21.31,20.85,21.22,13673300,21.22
2013-02-21,20.92,21.00,20.74,20.83,13296100,20.83
2013-02-20,21.31,21.45,20.90,20.92,14438900,20.92
2013-02-19,21.03,21.41,20.97,21.29,16665800,21.29
2013-02-15,21.15,21.25,20.90,21.02,12584000,21.02
2013-02-14,21.10,21.26,21.06,21.18,12817900,21.18
2013-02-13,21.15,21.43,21.07,21.15,18797900,21.15
2013-02-12,20.94,21.40,20.89,21.21,27750200,21.21
2013-02-11,20.44,20.98,20.39,20.90,22089900,20.90
2013-02-08,20.38,20.61,20.30,20.50,22249700,20.50
2013-02-07,20.10,20.43,19.93,20.32,24705600,20.32
2013-02-06,19.63,19.90,19.59,19.85,15354900,19.85
2013-02-05,19.49,19.78,19.42,19.66,13559800,19.66
2013-02-04,19.76,19.81,19.31,19.34,23906500,19.34
2013-02-01,19.77,19.83,19.58,19.76,27610600,19.76
2013-01-31,19.92,19.99,19.57,19.63,34973700,19.63
2013-01-30,19.92,20.12,19.69,20.12,36572300,20.12
2013-01-29,20.87,20.88,19.68,19.70,57637500,19.70
2013-01-28,20.50,20.50,20.20,20.31,39182600,20.31
2013-01-25,20.43,20.48,20.23,20.37,14941300,20.37
2013-01-24,20.08,20.52,20.07,20.44,13711400,20.44
2013-01-23,19.98,20.19,19.91,20.11,13857900,20.11
2013-01-22,19.91,19.95,19.72,19.90,13866900,19.90
2013-01-18,20.07,20.17,19.97,20.02,13535100,20.02
2013-01-17,20.14,20.21,20.00,20.13,14500600,20.13
2013-01-16,19.91,20.14,19.62,20.07,33291700,20.07
2013-01-15,19.28,19.54,19.28,19.52,16087600,19.52
2013-01-14,19.33,19.54,19.25,19.43,13828400,19.43
